2026-04-22 17:03:53,067 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:53,067 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:53,067 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:04:02,311 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:02,351 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:02,351 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:12,319 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:12,368 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:12,369 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:17,746 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 17:04:17,780 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:17,781 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:17,781 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 17:04:22,330 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:22,365 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:22,368 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:32,338 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:32,378 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:32,379 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:38,237 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:38,242 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:38,836 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:38,838 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:39,021 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:39,022 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:42,352 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:42,396 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:42,396 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:04:57,821 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:04:57,822 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:05:02,333 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:05:02,379 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:05:02,379 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
